"id","label","classification","activiteNormative","isDecret","displayed"
"1","Amnistie","0","0","0","1"
"2","Arrêté ministériel","0","0","0","1"
"36","Arrêté ministériel (individuel)","0","0","0","1"
"3","Arrêté interministériel","0","0","0","1"
"37","Arrêté interministériel (individuel)","0","0","0","1"
"4","Arrêté du Premier ministre","1","0","0","1"
"38","Arrêté du Premier ministre (individuel)","1","0","0","1"
"5","Arrêté du Président de la République","0","0","0","1"
"39","Arrêté du Président de la République (individuel)","0","0","0","1"
"46","Arrêté en Conseil d'Etat","0","0","0","1"
"6","Avenant","0","0","0","1"
"7","Avis","0","0","0","1"
"8","Circulaire","0","0","0","1"
"9","Citation","0","0","0","1"
"10","Communiqué","0","0","0","1"
"11","Convention","0","0","0","1"
"12","Décision","0","0","0","1"
"13","Décret en Conseil d'Etat de l'article 37 second alinéa de la Constitution","1","0","1","1"
"14","Décret en Conseil d'Etat","1","0","1","1"
"40","Décret en Conseil d'Etat (individuel)","1","0","1","1"
"15","Décret en Conseil d'Etat et conseil des ministres","1","0","1","1"
"41","Décret en Conseil d'Etat et conseil des ministres (individuel)","1","0","1","1"
"16","Décret en conseil des ministres","1","0","1","1"
"42","Décret en conseil des ministres (individuel)","1","0","1","1"
"17","Décret du Président de la République","1","0","1","1"
"43","Décret du Président de la République (individuel)","1","0","1","1"
"18","Décret simple","1","0","1","1"
"44","Décret simple (individuel)","1","0","1","1"
"19","Décret de publication de traité ou accord","1","0","1","1"
"47","Décret du Président de la République en Conseil d'Etat","1","0","1","1"
"20","Délibération","0","0","0","1"
"21","Demande d'avis au Conseil d'Etat","0","0","0","1"
"22","Divers","0","0","0","1"
"23","Exequatur","0","0","0","1"
"49","Informations parlementaires","0","0","0","0"
"24","Instruction","0","0","0","1"
"25","Liste","0","0","0","1"
"26","Loi","1","1","0","1"
"27","Loi de l'article 53 de la Constitution","1","1","0","1"
"28","Loi constitutionnelle","1","1","0","1"
"29","Loi organique","1","1","0","1"
"30","Note","0","0","0","1"
"31","Ordonnance","1","2","0","1"
"32","Rapport","0","0","0","1"
"33","Rectificatif","0","0","0","1"
"34","Tableau","0","0","0","1"
"45","Rapport au Parlement","0","0","0","1"
"48","Textes non publiés au JO","0","0","0","1"
