"id","label"
"0","LEX-14 - Procedure accélérée"
"1","LEX-14 - Procedure accélérée lettre rectificative"
"2","LEX-17 - Première lecture"
"3","LEX-17 - Première lecture modifiée"
"4","LEX-17 - Première lecture rejetée"
"5","LEX-17 - Première lecture procédure accélerée"
"6","LEX-17 - Première lecture procédure accélerée modifiée"
"7","LEX-17 - Première lecture procédure accélerée rejetée"
"8","LEX-17 - Deuxième lecture"
"9","LEX-17 - Deuxième lecture modifiée"
"10","LEX-17 - Nouvelle lecture"
"11","LEX-22 - CMP (45-2)"
"12","LEX-22 - CMP (45-2) texte commun"
"13","LEX-26 - CMP (45-3)"
"14","LEX-27 - Echec CMP"
"15","LEX-27 - Echec CMP texte commun"
"16","LEX-27 - Rejet par l""Assemblée nationale"
"17","LEX-27 - Rejet par le Sénat"
"18","LEX-27 - Rejet par le Sénat des amendements du Gouvernement"
"19","LEX-26 - Dernière lecture"
"20","LEX-26 - Dernière lecture rejet"
"21","Lettre choix multiples - décès"
"22","Lettre choix multiples - démission"
"23","Lettre choix multiples - expiration"
"24","Lettre création OEP"
"25","Lettres re-création OEP"
"26","Lettres suite entrée au Gouvernement"
"27","Lettres suite nomination CCI"
"28","34-1C : injonction"
"29","34-1C: mise en cause de la responsabilité"
"30","avenant conventions"
"31","ouverture session extraordinaire-décret"
"32","clôture session extraordinaire-décret"
"33","ouverture session extraordinaire-ampliation"
"34","clôture session extraordianaire-ampliation"
"35","ouverture session extraordinaire-lettre"
"36","clôture session extraordinaire-lettre"
"37","dépôt rapport art 67"
"38","dépôt rapport"
"39","dépôt rapport pour information"
"40","dépôt rapport - info ministre"
"41","Lettres + décrets"
"42","Lettre intervention extérieure"
"43","Lettre intervention ext en session extra"
"44","Décret congrès article 18C"
"45","Lettres + décrets congrès article 18C"
"46","Décret congrès"
"47","Ampliation congrès"
"48","Audition"
"49","Autres documents transmis aux assemblées"
"50","Correspondance en application du troisième alinéa de l'article 28 de la Constitution"
"51","Déclaration de politique générale"
"52","Déclaration de politique générale-approbation"
"53","Déclaration en application de l'article 50-1 de la Constitution"

