"id","label"
"dateArriveeDossierLink","Date d'arrivée"
"dateCreationDossier","Date de création"
"idCreateurDossier","Créé par"
"dernierContributeur","Dernier contributeur"
"numeroNor","NOR"
"statut","Statut"
"typeActe","Type d'acte"
"titreActe","Titre de l'acte"
"ministereResp","Entité à l'origine du projet"
"directionResp","Direction concernée"
"ministereRespBord","Ministère resp."
"directionRespBord","Direction resp."
"ministereAttache","Ministère rattach."
"directionAttache","Direction rattach."
"nomRespDossier","Nom du responsable du dossier"
"prenomRespDossier","Prénom resp. dossier"
"qualiteRespDossier","Qualité resp. dossier"
"telRespDossier","Tél. resp. dossier"
"mailRespDossier","Mél resp. dossier"
"categorieActe","Catégorie acte"
"baseLegaleActe","Base légale"
"datePublication","Date de publication souhaitée"
"publicationRapportPresentation","Publication du rapport de présentation"
"sectionCe","Section du CE"
"priorite","Priorité"
"rapporteurCe","Rapporteur"
"dateTransmissionSectionCe","Date transm. section CE"
"dateSectionCe","Date prévisionnelle section CE"
"dateAgCe","Date prévisionnelle AG CE"
"numeroISA","Numéro ISA"
"nomCompletChargesMissions","Chargé de mission"
"nomCompletConseillersPms","Conseiller PM"
"dateSignature","Date signature"
"pourFournitureEpreuve","Pour fourniture d'épreuve"
"vecteurPublication","Vecteur de publication"
"publicationsConjointes","Publication conjointe"
"publicationIntegraleOuExtrait","Publication intégrale ou par extrait"
"decretNumerote","Décret numéroté"
"modeParution","Mode parution"
"delaiPublication","Délai publication"
"datePreciseePublication","Publication à date précisée"
"dateParutionJorf","Date JO"
"numeroTexteParutionJorf","N° du texte JO"
"pageParutionJorf","Page JO"
"titreOfficiel","Titre publié"
"parutionBo","Parutions BO"
"zoneComSggDila","Zone commentaire SGG-DILA"
"rubriques","Rubrique"
"motscles","Mots Cles"
"libre","Champ Libre"
"applicationLoi","Réf. Lois Appliquées"
"transpositionOrdonnance","Réf. Ordonnances"
"transpositionDirective","Réf. Directives Europeennes"
"habilitationRefLoi","Réf. Habilitation"
"habilitationNumeroArticles","N° Article Habilitation"
"habilitationCommentaire","Commentaire Habilitation"
"habilitationNumeroOrdre","N°Ordre Habilitation"
"texteEntreprise","Textes relevant de la rubrique entreprise"
"dateEffet","Date(s) d'effet"
"emetteur","Emetteur"
"rubrique","Rubrique parlementaire"
"commentaire","Commentaire"
