id,label
"50002368","ARCEP"
"50004632","Autorité contrôle prudentiel"
"50003732","Autorité de la concurrence"
"50002618","CCO"
"50002382","Collectivités territoriales République"
"50001827","Comité entreprises assurances (CEA)"
"50002357","Commission de régulation de l'énergie"
"50002507","Commission nat informatique libertés"
"50002907","Conseil constitutionnel"
"50000582","Conseil d'État"
"50002682","Conseil supérieur de l'audiovisuel"
"50002509","Cour des comptes"
"50000977","Min. Affaires européennes"
"50000937","Min. Affaires étrangères et européennes"
"50000938","Min. Agr, alim, pêche, rur, amén. territ"
"50005042","Min. Apprentissage, formation prof"
"50013998","Min. Budget, comptes pub, FP, réf. Etat"
"50005041","Min. Collectivités territoriales"
"50001008","Min. Coopérations"
"50000966","Min. Culture et communication"
"50000967","Min. Défense, anciens combattants"
"50000976","Min. Ecologie, dév durable, transp, logt"
"50000507","Min. Economie, finances et industrie"
"50000968","Min. Education nat, jeunesse, vie assoc."
"50000940","Min. Enseignement sup. et recherche"
"50011153","Min. Industrie, énergie, éco. numérique"
"50000632","Min. Intérieur, OM, collect terr, immigr"
"50000972","Min. Justice et des libertés"
"50004232","Min. Outre-mer"
"50005038","Min. Solidarités et cohésion sociale"
"50005040","Min. Sports"
"50000969","Min. Travail, emploi et santé"
"50005039","Min. Ville"
"50000635","Ministère pilote (à préciser)"
"50000636","Ministère(s) suiveur(s) (à préciser)"
"50001888","NOR BCF"
"50001894","NOR BUD"
"50000979","NOR DAC"
"50000633","NOR DEV"
"50000973","NOR DOM"
"50003983","NOR EAT"
"50005032","NOR ECE"
"50001498","NOR ECO"
"50001910","NOR EQU"
"50001007","NOR EXT"
"50000970","NOR FPP"
"50001501","NOR INT"
"50004432","NOR JSA"
"50001886","NOR LOG"
"50000980","NOR MCP"
"50000981","NOR MCT"
"50001441","NOR MET"
"50000971","NOR MJS"
"50003584","NOR MLV"
"50005036","NOR MTS"
"50000783","NOR SAN"
"50000975","NOR SAS"
"50003582","NOR SJS"
"50001900","NOR SOC"
"50000945","NOR TOU"
"50000607","Premier Ministre"
"50000764","Présidence de la République"
