"id","label"
"LOI_CONSTITUTIONNELLE","Loi constitutionnelle"
"LOI_REFERENDAIRE","Loi référendaire"
"LOI_ORGANIQUE","Loi organique"
"LOI_FINANCE","Loi finance"
"LOI_FINANCE_RECTIFICATIVE","Loi finance rectificative"
"LOI_REGLEMENT","Loi règlement"
"LOI_FINANCEMENT_SECURITE_SOCIALE","Loi financement sécurité sociale"
"ART_53_CONST","Art. 53 constitution"
"LOI_PROGRAMMATION","Loi programmation"
"LOI_ORIENTATION","Loi orientation"
"LOI","Loi"
"LOI_CADRE","Loi cadre"
"LOI_FINANCEMENT_SECURITE_SOCIALE_RECTIFICATIVE","Loi de financement de la sécurité sociale rectificative"
